ProfileName,TransactionDate,TransactionAmount,TransactionNarrative,TransactionDescription,TransactionID,TransactionType,WalletReference
Card Campaign,2014-01-12 21:59:47,-10000,FRIENDLY GROCER           JOHANNESBURG  BW,DEDUCT,0384012647878455,1,P_NzI2MzM3OTFfMTM4NjIzODI2My45MjAy,
Card Campaign,2014-01-12 22:00:19,-10000,JWANENG BRANCH            BOTSWANA      BW,DEDUCT,0464012648195479,1,P_Nzc0OTg4MThfMTM4MTMyODQ1Ni43MTU4,
Card Campaign,2014-01-12 22:05:11,-10000,CHOPPIES GABANE ROAD      BOT           BW,DEDUCT,0584012651116258,1,P_NzQzNTQzODFfMTM4NzM2Njg5NS4xODAy,
Card Campaign,2014-01-12 22:08:07,-2695,921568 MOCHUDI SPAR       BOTSWANA      BW,DEDUCT,0164012652889581,0,P_NzQ4NzY3NzBfMTM4OTI2MzIxNi45NTk2,
Card Campaign,2014-01-12 22:13:27,-2585,730842 SPAR GANTSI        BOTSWANA      BW,DEDUCT,0004012656071466,0,P_NzI5OTU5NDBfMTM4NzA5MDEzMS4zMTM5,
Card Campaign,2014-01-12 22:17:48,-6000,MAUN ATM                  MAUN          BW,DEDUCT,0304012730680889,1,P_NzUwNDMxMjZfMTM3OTU4NDc0My43MDMx,
Card Campaign,2014-01-12 22:31:14,-17000,ORAPA LETLHAKANE          ORAPA         BW,DEDUCT,0464012667742576,1,P_NzQ0NDA4NzBfMTM4MjUxMzczOC4wMTU0,
Card Campaign,2014-01-12 22:32:10,-7780,732908 BOITUMELO DIJO (PT BOTSWANA      BW,DEDUCT,0084012667305886,0,P_NzIxOTIyNDhfMTM4OTM2NTAwMi42MzAz,
Card Campaign,2014-01-12 22:37:57,-9000,563667 ENGEN TRUCK STOP   BOTSWANA      BW,DEDUCT,0084012670778488,0,P_NzIxMDg3MDZfMTM4NDYwMTc1NS4yNjIy,
Card Campaign,2014-01-12 22:45:14,-10000,HEMAMO                    GABORONE      BW,DEDUCT,0584012676142890,1,P_NzY1NTAxNDZfMTM4ODM5MjU4My4xMTQ3,
Card Campaign,2014-01-12 22:49:00,-5000,MARKUS CALTEX FILLING     BW            BW,DEDUCT,0304012677401678,1,P_NzUwMjQxMDVfMTM4NjA2NTk0MC4zNjI1,
Card Campaign,2014-01-12 22:54:08,-10000,SHELL MAHALAPYE           MAHALAPY      BW,DEDUCT,0464012680484350,1,P_Nzc1NzMxMTdfMTM4NzM2OTE5OS4zNzI5,
Card Campaign,2014-01-12 22:55:06,-20000,SHELL FRANCISTOWN         FRA           BW,DEDUCT,0304012681067477,1,P_NzI3NDM4OTZfMTM3Nzc2MjAxMS44MTEx,
Card Campaign,2014-01-12 23:08:10,-5007,425180 BP PALM GROVE      BOTSWANA      BW,DEDUCT,0004012688904432,0,P_NzIzOTcwMDFfMTM4NjU3Mjg0NS4xODky,
Card Campaign,2014-01-12 23:25:19,-24000,746301 UNITED CAFE 3      BOTSWANA      BW,DEDUCT,0004012699199827,0,P_NzI2NjIyNjZfMTM4NjM0MzY2My4zODk1,
Card Campaign,2014-01-12 23:25:19,24000,746301 UNITED CAFE 3      BOTSWANA      BW,REVERSAL,0004012699199827,0,P_NzI2NjIyNjZfMTM4NjM0MzY2My4zODk1,
Card Campaign,2014-01-12 23:26:08,-24000,746301 UNITED CAFE 3      BOTSWANA      BW,DEDUCT,0284012699683735,0,P_NzI2NjIyNjZfMTM4NjM0MzY2My4zODk1,
Card Campaign,2014-01-12 23:40:21,-10000,PALAPYE BRANCH 2          PAL           BW,DEDUCT,0384012708211554,1,P_NzI5OTQ5NDRfMTM4NDE2MjA2Ny45NjUy,
Card Campaign,2014-01-13 00:40:30,-2000,CHOPPIES GABANE ROAD      BOT           BW,DEDUCT,0464012744308266,1,P_NzIxMDYyMTJfMTM4MTE0MTQ5MC4zODA2,
Card Campaign,2014-01-13 01:14:39,-10000,ENGEN TSOLAMOSESI         GABORONE      BW,DEDUCT,0384012764793175,1,P_NzUwNDg3ODdfMTM4MjUyMDA3Mi44MjM4,
Card Campaign,2014-01-13 01:15:28,-20000,SEBELE MALL               BOTSWANA      BW,DEDUCT,0464012765288447,1,P_NzUwNTIzMzNfMTM4ODQ5MDEzMy4wNjg3,
Card Campaign,2014-01-13 01:30:24,-10000,MAUN BRANCH               MAUN BRANCH   BW,DEDUCT,0304012774247101,1,P_NzI0NDkyMDRfMTM4NjA1ODUxOC40Nzcz,
Card Campaign,2014-01-13 01:31:03,-10000,MAUN BRANCH               MAUN BRANCH   BW,DEDUCT,0304012774638303,1,P_NzI0NDkyMDRfMTM4NjA1ODUxOC40Nzcz,
Card Campaign,2014-01-13 01:38:56,-5000,SOUTH RING                JOHANNESBURG  BW,DEDUCT,0464012779360248,1,P_NzI3NTg0NTdfMTM4NjY2NDExNy4zODAy,
